name;type;balanced;carrier;verbose_name;plot
seawater-bus;bus;True;water;"Seawater";true
ac-elec-bus;bus;True;electricity;"AC Electricity";true
dc-elec-bus;bus;True;electricity;"DC Electricity";true
brine-bus;bus;True;water;"Brine";false
solar-energy-bus;bus;True;energy;"Solar Irradiation";false
banana-bus;bus;True;biomass;"Banana";false
wind-bus;bus;True;energy;"Wind";false
drinking-water-bus;bus;True;water;"Drinking Water";false
service-water-bus;bus;True;water;"Service Water";true
precipitation-bus;bus;True;water;"Precipitation";false
irrigation-bus;bus;True;water;"Irrigation";false
diesel-bus;bus;True;energy;"Diesel";true
groundwater-bus;bus;True;water;"Groundwater";true
riverflow-bus;bus;True;water;"Riverflow";true
biofuel-bus;bus;True;fuel;"Biofuel";true
tap-water-bus;bus;True;water;"Tap Water";true
human-feces-bus;bus;True;feces;"Human Feces";false
human-urine-bus;bus;True;urine;"Human Urine";false
animal-feces-bus;bus;True;feces;"Animal Feces";false
animal-urine-bus;bus;True;urine;"Animal Urine";false
black-water-bus;bus;True;water;"Black Water";true
grey-water-bus;bus;True;water;"Grey Water";true
wwtp-ip-water-bus;bus;True;water;"Wastew. Treatm. Pl. Input";false
wwtp-op-water-bus;bus;True;water;"Wastew. Treatm. Pl. Output";false
biomass-bus;bus;True;biomass;"Biomass";true
dry-feces-bus;bus;True;dry-feces;"Dry Feces";false
compost-bus;bus;True;compost;"Compost";false
water-in-bus;bus;True;water;"Water Inlet";false
water-out-bus;bus;True;water;"Water Outlet";false
biogas-bus;bus;True;biogas;"Biogas";true
N2-bus;bus;True;N2;"Nitrogen";false
untreated-water-bus;bus;True;water;"Untreated Water";true
river-water-bus;bus;True;water;"River Water";true
lake-water-bus;bus;True;water;"Lake Water";true
truck-water-bus;bus;True;water;"Truck Water";true
bottled-water-bus;bus;True;water;"Bottled Water";true
rain-water-bus;bus;True;water;"Rain Water";true
